,X,lookup,x,y,state,County,address,prcp,tmax,ndvi,year,location,PHDI_average,palmer_z_average,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,landcover,dtw,landcover_1,landcover_2,landcover_5,landcover_6,landcover_7,landcover_8,landcover_11,landcover_14,landcover_15,landcover_18,county_id
1,1,801 2019,-85.51,30.2,florida,Bay,"Tram Road, Panama City, Bay County, Florida, 32404, United States",0.284698653,0.337144623,0.849688325,0,801,0.398630421,0.190662494,0.158706605,0.730291553,0.370851121,0.905000128,0.497076426,0.109397546,0.869396797,0.370001048,0.299816283,0.258889558,0.127936435,0.897271268,0.663157895,0.779411765,0.248400867,0.637065637,0.833333333,0.744939271,0.83161512,14,0.344783605,0,0,0,0,0,0,0,1,0,0,3
2,2,801 2019,-85.11,29.75,florida,Franklin,"Franklin County, Florida, United States",0.187810368,0.215340933,0.865853143,0,801,0.398630421,0.190662494,0.252024455,0.497194092,0.212660198,0.817137957,0.188410823,0.246073076,0.69967594,0.421224876,0.659920948,0.354832897,0.218295454,0.744783307,0.6,0.647058824,0.317760434,0.648648649,0.79047619,0.582995951,0.701030928,14,0.168792412,0,0,0,0,0,0,0,1,0,0,18
3,3,801 2019,-85.06,29.75,florida,Franklin,"Franklin County, Florida, United States",0.186131257,0.326829103,0.912128896,0,801,0.398630421,0.190662494,0.252024455,0.497194092,0.212660198,0.817137957,0.188410823,0.246073076,0.69967594,0.421224876,0.659920948,0.354832897,0.218295454,0.744783307,0.6,0.647058824,0.317760434,0.648648649,0.79047619,0.582995951,0.701030928,14,0.132981177,0,0,0,0,0,0,0,1,0,0,18
4,4,801 2019,-85.11,30.8,florida,Jackson,"Calhoun Road, Jackson County, Florida, 32443:32446, United States",0.14379622,0.237681529,0.787311146,0,801,0.398630421,0.190662494,0.0938112,0.879527097,0.457694523,0.971756892,0.759819538,0.033437819,0.976993307,0.326684901,0.203808654,0.218209798,0.057921526,0.600321027,0.157894737,0.573529412,0.096729719,0.150579151,0.671428571,0.234817814,0.83161512,5,0.140174469,0,0,1,0,0,0,0,0,0,0,31
5,5,801 2019,-85.06,30.85,florida,Jackson,"3968, Hussey Road, Jackson County, Florida, 32443, United States",0.149083634,0.312423178,0.836502905,0,801,0.398630421,0.190662494,0.092720188,0.897044673,0.455161671,1,0.83960118,0.020957048,1,0.362481708,0.711188156,0.251827873,0.041272307,0.553772071,0.052631579,0.514705882,0.079939957,0.054054054,0.666666667,0.133603239,0.862542955,2,0.099118317,0,1,0,0,0,0,0,0,0,0,31
6,6,801 2019,-84.46,30,florida,Wakulla,"Wakulla County, Florida, United States",0.336322389,0.405737237,0.811230851,0,801,0.398630421,0.190662494,0.223368704,0.663632333,0.348229859,0.869299794,0.472328285,0.175973805,0.805002352,0.391430196,0.341439512,0.354738022,0.17391444,0.772070626,0.6,0.75,0.299337306,0.594594595,0.714285714,0.684210526,0.70790378,6,0.099118317,0,0,0,1,0,0,0,0,0,0,65
7,7,801 2019,-84.41,30,florida,Wakulla,"Surf, Wakulla County, Florida, 32346, United States",0.322746597,0.251026814,0.847659799,0,801,0.398630421,0.190662494,0.223368704,0.663632333,0.348229859,0.869299794,0.472328285,0.175973805,0.805002352,0.391430196,0.341439512,0.354738022,0.17391444,0.772070626,0.6,0.75,0.299337306,0.594594595,0.714285714,0.684210526,0.70790378,5,0.168792412,0,0,1,0,0,0,0,0,0,0,65
8,8,801 2019,-85.16,29.75,florida,Franklin,"Brown's Neck Loop Road, Gulf County, Florida, United States",0.180486585,0.171997847,0.872086635,0,801,0.398630421,0.190662494,0.252024455,0.497194092,0.212660198,0.817137957,0.188410823,0.246073076,0.69967594,0.421224876,0.659920948,0.354832897,0.218295454,0.744783307,0.6,0.647058824,0.317760434,0.648648649,0.79047619,0.582995951,0.701030928,14,0.221635295,0,0,0,0,0,0,0,1,0,0,18
9,9,801 2019,-86.81,30.6,florida,Santa Rosa,"Eglin Air Force Base, Santa Rosa County, Florida, United States",0.234039513,0.147146619,0.776682515,0,801,0.398630421,0.190662494,0.117469979,0.698821389,0.304961985,0.964318008,0.471374528,0.086981729,0.886125239,0.386353042,0.222593407,0.274246307,0.079295558,0.897271268,0.442105263,0.838235294,0.111769954,0.455598456,0.89047619,0.55465587,0.848797251,6,0.465961525,0,0,0,1,0,0,0,0,0,0,55
10,10,801 2019,-85.41,30.2,florida,Bay,"County Road 102, Bay County, Florida, United States",0.260941017,0.387254331,0.83078711,0,801,0.398630421,0.190662494,0.126852745,0.767899878,0.408823773,0.90804178,0.455668701,0.086881607,0.883931048,0.288195665,0.262168874,0.182063164,0.107758685,0.908507223,0.705263158,0.808823529,0.259739362,0.66023166,0.828571429,0.769230769,0.835051546,6,0.309655522,0,0,0,1,0,0,0,0,0,0,3
11,11,801 2019,-85.21,29.75,florida,Gulf,"Gulf County, Florida, United States",0.173484334,0.181113992,0.856154253,0,801,0.398630421,0.190662494,0.251409751,0.485388099,0.201198096,0.821264175,0.140271686,0.245571575,0.693128471,0.429906456,0.659068444,0.363667619,0.216395247,0.791332263,0.663157895,0.676470588,0.335279733,0.71042471,0.814285714,0.668016194,0.704467354,5,0.282095677,0,0,1,0,0,0,0,0,0,0,22
12,12,801 2019,-87.11,30.8,florida,Santa Rosa,"Santa Rosa County, Florida, United States",0.206209139,0.118961306,0.880274696,0,801,0.398630421,0.190662494,0.082222022,0.770086578,0.360324675,0.978779228,0.572512646,0.057414962,0.927841493,0.321643894,0.177128315,0.213475606,0.053292112,0.939004815,0.442105263,0.808823529,0.098310127,0.467181467,0.90952381,0.566801619,0.900343643,5,0.714339875,0,0,1,0,0,0,0,0,0,0,55
13,13,801 2019,-84.61,30,florida,Franklin,"CR 67, Pine Log, Franklin County, Florida, United States",0.246043371,0.221606324,0.88417327,0,801,0.398630421,0.190662494,0.210727887,0.680324593,0.363470118,0.861467676,0.422993358,0.158867059,0.813443757,0.347410588,0.332430161,0.314463005,0.17166502,0.773675762,0.557894737,0.75,0.28484604,0.594594595,0.742857143,0.647773279,0.718213058,14,0.11301227,0,0,0,0,0,0,0,1,0,0,18
14,14,801 2019,-84.41,30.1,florida,Wakulla,"Floyd Gray Road, Wakulla County, Florida, 32327, United States",0.257832875,0.384609441,0.902588484,0,801,0.398630421,0.190662494,0.186229031,0.743218628,0.408437437,0.885044597,0.518432901,0.129421163,0.854220424,0.40059836,0.30250469,0.2876246,0.146000488,0.800963082,0.6,0.764705882,0.262047819,0.567567568,0.733333333,0.672064777,0.742268041,14,0.228187503,0,0,0,0,0,0,0,1,0,0,65
