,exlid,lookup,id,x,y,presence,gen_spe,genus_full,xy,index,year,tmax,prcp,dtw,location,PHDI_average,palmer_z_average,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,landcover,ndvi,ambam,ambma,derva,ixoaf,ixosc,rhisa,landcover_1,landcover_2,landcover_5,landcover_6,landcover_7,landcover_14,landcover_15,landcover_16,landcover_18,species,genus
68,896,802 2021,1168,-83.0483945,29.1525805,0,Amblyomma americanum,Amblyomma,-83.0483945 29.1525805,461,1,0.461176996,0.590827411,0.065844211,802,0.410769869,0.541210224,0.363554543,0.686786252,0.516207187,0.661688498,0.608065234,0.306533783,0.705536532,0.471671095,0.523861671,0.359864772,0.344156246,0.669341894,0.926315789,0.397058824,0.596623962,0.861003861,0.414285714,0.943319838,0.570446735,16,0.213903856,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
189,969,803 1999,1558,-80.714492,28.433408,0,Amblyomma maculatum,Amblyomma,-80.714492 28.433408,610,0.989109011,0.477959274,0.58409842,0.058065952,803,0.027391575,0.31637976,0.553646341,0.596042284,0.585150937,0.401360053,0.516678755,0.454932104,0.556730353,0.516638846,0.43643883,0.396602417,0.556707963,0.282504013,0.284210526,0.161764706,0.524015279,0.297297297,0.285714286,0.388663968,0.223367698,16,0.831568938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
196,140,801 2011,1363,-85.405905,29.780595,0,Amblyomma americanum,Amblyomma,-85.405905 29.780595,551,0.99504955,0.198254645,0.618191972,0.533461973,801,0.068478938,0.082420449,0.313950649,0.284706545,0,0.783256204,0.032113794,0.359556732,0.573305355,0.592088059,0.671799637,0.474374082,0.274305776,0.818619583,0.684210526,0.676470588,0.337651072,0.737451737,0.828571429,0.708502024,0.718213058,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
373,1613,805 2011,1711,-82.07703333,26.43337778,0,Dermacentor variabilis,Dermacentor,-82.07703333 26.43337778,378,0.99504955,0.778473925,0.737519404,0.362485227,805,0.21809504,0.31324987,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.773100898,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
401,1178,804 1999,1321,-82.552667,27.640483,0,Amblyomma americanum,Amblyomma,-82.552667 27.640483,59,0.989109011,0.550906241,0.755014779,0.18854871,804,0.264370201,0.46896192,0.621489507,0.533756133,0.566653559,0.42140335,0.481869043,0.513844009,0.497870323,0.749700407,0.474911932,0.618581986,0.59132959,0.345104334,0.726315789,0.058823529,0.791690288,0.683397683,0.214285714,0.753036437,0.240549828,16,0.317569995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
470,1234,804 2012,1680,-80.22571849,27.46908888,0,Dermacentor variabilis,Dermacentor,-80.22571849 27.46908888,549,0.995544595,0.648467216,0.592621808,0.196296421,804,0.304731272,0.473135107,0.690456594,0.508990252,0.675343193,0.234074308,0.419887658,0.6007453,0.409498096,0.636651711,0.491376155,0.509310838,0.712871429,0.479935795,0.473684211,0.323529412,0.45838556,0.374517375,0.338095238,0.469635628,0.243986254,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2
485,1660,805 2015,1587,-82.08008688,26.43373411,0,Amblyomma maculatum,Amblyomma,-82.08008688 26.43373411,236,0.99702973,0.86328037,0.419911051,0.36661044,805,0.31687072,0.400625978,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.689572108,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
487,1662,805 2015,1235,-82.08008688,26.43373411,0,Amblyomma americanum,Amblyomma,-82.08008688 26.43373411,236,0.99702973,0.86328037,0.533855291,0.36661044,805,0.31687072,0.400625978,0.733514708,0.470552081,0.641842326,0.287125894,0.557711051,0.64898859,0.385502064,0.821500702,0.644495648,0.732517693,0.721136643,0.390048154,0.821052632,0.102941176,0.977156761,0.907335907,0.076190476,0.943319838,0.085910653,16,0.689572108,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
545,1214,804 2009,1512,-82.79553269,28.18274492,0,Amblyomma americanum,Amblyomma,-82.79553269 28.18274492,302,0.99405946,0.463862161,0.466116786,0.137244742,804,0.326520025,0.435576422,0.563878292,0.629292898,0.58516399,0.512077386,0.649118293,0.435249844,0.593975808,0.740913165,0.701573312,0.626490586,0.516879468,0.431781701,0.631578947,0.25,0.576624077,0.590733591,0.40952381,0.623481781,0.395189003,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
690,239,801 2019,1438,-85.23774667,29.68044167,0,Amblyomma americanum,Amblyomma,-85.23774667 29.68044167,279,0.99900991,0.364511076,0.548210471,0.367186317,801,0.398630421,0.190662494,0.251409751,0.485388099,0.201198096,0.821264175,0.140271686,0.245571575,0.693128471,0.429906457,0.659068444,0.363667621,0.216395247,0.791332263,0.663157895,0.676470588,0.335279733,0.71042471,0.814285714,0.668016194,0.704467354,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
